Compound_ID,Norm. Area: HILIC_Neg_1D0.raw (F125),Norm. Area: HILIC_Neg_2D0.raw (F126),Norm. Area: HILIC_Neg_3D0.raw (F127),Norm. Area: HILIC_Neg_13D0.raw (F134),Norm. Area: HILIC_Neg_14D0.raw (F135),Norm. Area: HILIC_Neg_15D0.raw (F136),Norm. Area: HILIC_Neg_25D14.raw (F143),Norm. Area: HILIC_Neg_26D14.raw (F144),Norm. Area: HILIC_Neg_27D14.raw (F145),Norm. Area: HILIC_Neg_37D14.raw (F152),Norm. Area: HILIC_Neg_38D14.raw (F153),Norm. Area: HILIC_Neg_39D14.raw (F154),Norm. Area: HILIC_Neg_49D21.raw (F161),Norm. Area: HILIC_Neg_50D21.raw (F162),Norm. Area: HILIC_Neg_51D21.raw (F163),Norm. Area: HILIC_Neg_61D35.raw (F170),Norm. Area: HILIC_Neg_62D28.raw (F171),Norm. Area: HILIC_Neg_63D28.raw (F172),Norm. Area: HILIC_Neg_85D28.raw (F188),Norm. Area: HILIC_Neg_86D28.raw (F189),Norm. Area: HILIC_Neg_87D28.raw (F190),Norm. Area: HILIC_Neg_97D42.raw (F197),Norm. Area: HILIC_Neg_98D42.raw (F198),Norm. Area: HILIC_Neg_99D42.raw (F199),Norm. Area: HILIC_Neg_121D7.raw (F215),Norm. Area: HILIC_Neg_122D7.raw (F216),Norm. Area: HILIC_Neg_123D7.raw (F217),Norm. Area: HILIC_Neg_133D7.raw (F224),Norm. Area: HILIC_Neg_134D7.raw (F225),Norm. Area: HILIC_Neg_135D7.raw (F226),Norm. Area: HILIC_Neg_Blank_MS1.raw (F233),Norm. Area: HILIC_Neg_Blank2.raw (F234),Norm. Area: HILIC_Neg_Blank2_MS1.raw (F235),Norm. Area: HILIC_Neg_Blank3.raw (F236),Norm. Area: HILIC_Neg_Blank4.raw (F237),Norm. Area: HILIC_Neg_Pooled_QC1_MS1.raw (F239),Norm. Area: HILIC_Neg_Pooled_QC2_MS1.raw (F240),Norm. Area: HILIC_Neg_Pooled_QC3_MS1.raw (F241),Norm. Area: HILIC_Neg_Pooled_QC4_MS1.raw (F242),Norm. Area: HILIC_Neg_Pooled_QC5_MS1.raw (F243),Norm. Area: HILIC_Neg_Pooled_QC6_MS1.raw (F244),Norm. Area: HILIC_Neg_Pooled_QC7_MS1.raw (F245),Norm. Area: HILIC_Neg_Pooled_QC8_MS1.raw (F246),Norm. Area: HILIC_Neg_Pooled_QC9_MS1.raw (F247),Norm. Area: HILIC_Neg_Pooled_QC10_MS1.raw (F248),Norm. Area: HILIC_Neg_Pooled_QC11_MS1.raw (F249)
12.537_192.05138_HILIC,2032627.392,1942193.505,1865233.072,1909404.078,2095112.188,1936760.413,1990903.38,1867936.309,1942277.104,23308798.64,36940349.45,15005881.62,1805416.438,1888676.464,1901004.396,2165493.132,2104120.361,1975004.397,1626921.527,1655258.062,1617254.981,1911598.071,1705968.862,1797340.813,1972080.337,1940985.657,2002434.507,3256943.692,1931754.547,6214525.283,101504.186,163275.5276,144282.5224,181537.8201,188833.6995,4902732.859,6489758.825,6193202.882,6186134.957,5176393.577,4578771.298,5773392.386,5625102.267,6202520.718,5569031.144,6100307.863
2.662_261.00752_HILIC,1753515.276,1625781.41,1438789.821,1536166.544,1682676.495,1727446.36,154925168.4,181459961.6,89785024.55,1245664.386,1329183.23,1500748.385,218014058.5,265785524.5,137170482.4,70998821.46,156759659,142377598.7,1433965.208,1314606.798,1320705.475,1472961.334,1419706.292,1510651.809,17310716.76,9320743.575,12280436.72,1503265.183,1445275.095,1404879.123,88187.411,128505.6101,113864.14,149003.8891,147901.3482,3912758.819,3684711.531,3044400.161,3707156.527,3866796.71,4105974.619,3609442.105,3912650.932,3773467.113,3258022.089,3705788.725
7.802_147.02997_HILIC,2722679.698,2771976.451,2629864.34,1938955.798,2259144.502,2098092.632,2115802.049,2061620.159,2287198.984,1733070.81,1831633.824,2204832.465,1932267.929,2118640.77,1635923.957,2175571.81,2052397.797,1905078.118,1522250.706,1403801.618,1494226.148,1540231.784,1533488.465,1508526.084,1595397.826,1471740.472,1562617.448,1231045.614,1300628.923,1300413.765,141798.7158,176417.6612,107386.0097,144174.6108,141655.2405,1196580.711,1114399.669,1957616.833,1644016.085,1803314.535,1641366.638,1602886.454,1719001.05,1672447.935,1718861.228,1105259.388
5.167_189.0557_HILIC,3074670.036,2950999.016,2582337.664,2843682.398,2868979.884,2942505.647,3077656.334,3218502.724,3261919.685,2389937.491,2703874.248,3071126.246,3049459.092,3329809.547,3459271.314,3300739.839,3341555.26,3151352.068,2779830.475,2538596.981,2460554.26,2745540.157,2737632.982,2705168.818,3008923.509,3030261.727,3110875.735,2623266.602,2765238.312,2542048.709,168062.0072,229362.3788,214416.957,293917.4158,300682.5266,3614581.66,3055441.721,3178282.838,1467689.087,3346302.231,3206436.106,3097961.018,3107282.405,2872713.142,3215581.257,3054507.089
1.231_219.02988_HILIC,1095857.73,1099166.324,876737.2496,4590070.399,4364083.46,3082373.999,1167068.912,1206690.488,1206808.693,6585033.78,6049637.85,8820874.582,1245876.964,1434368.838,1211890.358,1084785.023,1541234.715,1033943.666,2634854.449,3202513.151,4151449.829,1532593.618,1196200.651,2008689.773,1019656.695,1121715.568,1096628.117,6252611.081,4858677.713,3295880.713,65762.04785,63653.83685,63878.17628,80035.15357,72428.80385,5638370.666,5057361.612,4689650.652,3966321.491,5348710.08,4996260.394,5422542.369,5917450.086,5014555.006,5376278.875,4299208.012
2.39_304.0788_HILIC,63920663.33,45847389.8,39074708.98,36127664.51,28637427.28,26428776.41,2334833.835,2530627.112,2651788.641,72535114.81,77381273.37,56684899.03,2440345.919,2701297.637,2861248.658,2456758.52,2533331.255,2523383.462,29936890.1,53340086.11,59612866.11,14213477.38,30212193.34,3091806.194,2510386.379,2482354.007,2591775.91,50330097.98,42858559.03,56638577.65,114905.7945,165894.8549,168342.7309,222564.7349,218584.743,5633901.564,6224305.688,5814817.908,5360371.084,5976112.734,6015463.531,3620991.418,5911474.899,6161194.182,5985213.398,6162346.385
1.502_169.01422_HILIC,2421802.975,4673776.124,845781.4721,2022642.131,1123363.422,2597988.893,4165827.643,1307800.316,1361170.829,1032860.709,1275845.87,1273779.342,3214787.425,1668867.813,1480521.619,2070254.201,1226980.608,1587975.52,2043681.16,1398676.335,1565512.349,1789290.332,1391511.361,2441624.799,1042654.991,1072212.532,13825345.7,1510204.245,1557113.539,1318168.252,49856.05755,68424.62596,65939.13022,82540.57261,75294.73746,2336851.826,2053604.866,2119258.682,2459142.314,1973359.85,1929215.049,1958503.967,2421756.282,2439165.418,2387551.459,1872074.802
1.502_237.0405_HILIC,1289974.196,1272897.721,1072193.383,2232720.708,1654768.903,1439991.237,1917515.311,1974039.902,1799616.37,2469530.765,1613642.247,1724644.82,5295809.268,3044765.319,7022493.745,10700895,10738432.18,7776846.983,2700244.118,2588001.295,3816285.631,4604962.975,2960993.021,2439849.221,1698083.256,2605507.542,2422962.685,4233587.249,3350244.337,2850158.872,62684.9206,87544.96845,108628.47,134915.8165,139656.0657,3665042.663,3467302.849,3140061.616,3533523.153,3779843.158,3516741.391,2055834.517,3384663.666,3228950.518,4548085.604,3301738.172
1.331_246.04337_HILIC,726678.2217,712936.4578,635899.2874,660538.3865,737066.2941,738764.032,782454.1494,790420.4118,771531.9218,567112.7183,569010.3362,699609.3295,860016.5596,859387.6952,725437.1222,749766.8435,769683.8372,724424.7748,604902.7426,567727.7915,517949.324,647683.2239,609154.9946,713931.6236,605996.4539,612918.7948,611992.7041,563121.6564,522064.7917,535768.4217,37132.72249,51505.91872,37246.64995,47448.26646,44410.75094,13693933.4,12514912.87,19318986.94,10814625.8,9603852.784,16247723.64,17295963.2,15356362.17,15009932.65,14358472.25,11879315.5
11.642_377.08588_HILIC,67853380.61,136457032.1,182437468.1,31597594.06,18871486.62,21919786.31,5475615.797,5198140.851,5409952.311,36885735.34,29839177.03,14471519.04,4727193.156,5719877.429,5258319.068,5476458.03,5444629.86,5532161.143,24987213.69,61158795.8,49147323.27,5040104.34,7124224.078,6231304.305,4858114.091,4948146.22,5138298.358,23598332.23,20080971.47,17499224.27,290285.559,368134.3115,350461.7945,467899.3825,470371.4375,10801321.29,13942510.19,14673031.7,13149973.01,14140886.41,11847792.35,13459192.29,12647001.21,12242642.67,14191542.47,13298311.74
