Compound_ID,Norm. Area: RP_Pos_1D0.raw (F1),Norm. Area: RP_Pos_2D0.raw (F2),Norm. Area: RP_Pos_3D0.raw (F3),Norm. Area: RP_Pos_13D0.raw (F10),Norm. Area: RP_Pos_14D0.raw (F11),Norm. Area: RP_Pos_15D0.raw (F12),Norm. Area: RP_Pos_25D14.raw (F19),Norm. Area: RP_Pos_26D14.raw (F20),Norm. Area: RP_Pos_27D14.raw (F21),Norm. Area: RP_Pos_37D14.raw (F28),Norm. Area: RP_Pos_38D14.raw (F29),Norm. Area: RP_Pos_39D14.raw (F30),Norm. Area: RP_Pos_49D21.raw (F37),Norm. Area: RP_Pos_50D21.raw (F38),Norm. Area: RP_Pos_51D21.raw (F39),Norm. Area: RP_Pos_61D35.raw (F46),Norm. Area: RP_Pos_62D28.raw (F47),Norm. Area: RP_Pos_63D28.raw (F48),Norm. Area: RP_Pos_85D28.raw (F64),Norm. Area: RP_Pos_86D28.raw (F65),Norm. Area: RP_Pos_87D28.raw (F66),Norm. Area: RP_Pos_97D42.raw (F73),Norm. Area: RP_Pos_98D42.raw (F74),Norm. Area: RP_Pos_99D42.raw (F75),Norm. Area: RP_Pos_121D7.raw (F91),Norm. Area: RP_Pos_122D7.raw (F92),Norm. Area: RP_Pos_123D7.raw (F93),Norm. Area: RP_Pos_133D7.raw (F100),Norm. Area: RP_Pos_134D7.raw (F101),Norm. Area: RP_Pos_135D7.raw (F102),Norm. Area: RP_Pos_Blank_MS1.raw (F109),Norm. Area: RP_Pos_Blank1_20230109161140.raw (F110),Norm. Area: RP_Pos_Blank2.raw (F111),Norm. Area: RP_Pos_Blank2_MS1.raw (F112),Norm. Area: RP_Pos_Pooled_QC1_MS1.raw (F114),Norm. Area: RP_Pos_Pooled_QC2_MS1.raw (F115),Norm. Area: RP_Pos_Pooled_QC3_MS1.raw (F116),Norm. Area: RP_Pos_Pooled_QC4_MS1.raw (F117),Norm. Area: RP_Pos_Pooled_QC5_MS1.raw (F118),Norm. Area: RP_Pos_Pooled_QC6_MS1.raw (F119),Norm. Area: RP_Pos_Pooled_QC7_MS1.raw (F120),Norm. Area: RP_Pos_Pooled_QC8_MS1.raw (F121),Norm. Area: RP_Pos_Pooled_QC9_MS1.raw (F122),Norm. Area: RP_Pos_Pooled_QC10_MS1.raw (F123),Norm. Area: RP_Pos_Pooled_QC11_MS1.raw (F124)
8.063_201.12322_RP,3270596.275,4448455.732,4380949.941,6735889.718,3382657.292,6168566.545,2000469.073,2270495.742,2139703.598,5020336.304,7158307.216,3577591.921,1700940.6,1178252.857,1282070.689,2070053.877,2113867.213,2001671.999,6659501.35,3006674.588,5395501.884,1106377.223,1676511.896,1119331.609,1471338.876,1427098.228,1456268.574,7367906.28,6829117.553,6816138.402,77620.72567,178803.9313,101812.7104,47286.27594,6386427.009,3279832.935,7094625.207,7328112.822,6800330.349,6608414.785,5847720.283,5846812.176,5912266.748,5739729.07,6132681.534
13.184_383.11233_RP,4691020.713,3170567.881,3262081.303,3846293.79,4609092.388,4530215.142,5605958.01,6025892.826,5900763.539,2117670.973,1886072.214,2357050.597,5262161.515,5255137.59,5682450.057,6297322.461,6534333.246,5965278.853,3053949.794,2702462.709,2458247.416,3866465.098,3055494.532,3549560.967,4050226.66,3969681.363,4065376.109,1646273.447,1478888.607,1196659.161,241031.6971,616644.9693,374614.5684,123739.8118,3527866.977,2315236.951,3624694.192,2695411.355,3216012.024,2333765.957,2567730.586,2192205.981,3710661.195,2793749.569,3254521.192
1.514_680.22386_RP,913025.8304,879650.8165,810262.8436,1100676.537,1098330.132,1089957.284,1339693.756,1456314.964,1748774.248,713002.6986,729283.7906,853814.6006,1159563.3,1459966.577,1488756.074,1337110.77,1359628.549,1335852.198,681137.5695,714414.5769,703803.4728,1204871.122,999711.8053,1088660.667,1886331.31,1936313.344,1617776.613,791493.0786,1015896.279,843109.6344,24773.51103,37042.19209,39751.19118,22568.74112,6177003.853,5431442.015,6026645.197,6134371.636,5014104.014,5329904.045,6330136.614,5717104.632,5714955.046,6751219.076,4986872.263
6.633_85.06472_RP,32851571.46,48170493.98,29842397.64,30678650.84,90620384.79,88400901.36,46249002.95,34133370.48,32421092.93,77734417.73,34816462.5,31055248.28,64228324.6,42100849.34,52842816.1,39384520.09,48039318.6,61197146.62,163235831.3,135821670.7,93356978.7,219102190.9,147820437.9,237687343.2,38815257.32,41407301.75,42844035.14,31558993.08,52679035.39,31443964.34,1647519.111,2429558.791,2378909.975,759115.8175,6461027.984,13907076.59,11601318.8,12615829.51,12268976.79,12217183.9,10559160.17,11516107.95,11130975.94,10939786.08,10363258.69
14.332_257.08066_RP,3073379.599,2401871.208,2024994.923,2448133.641,3014396.294,3051751.741,4183476.225,4449006.845,4234000.088,1589028.946,1474430.86,1805269.341,4259457.674,4395886.883,4636851.843,5366978.611,5508110.092,5146185.418,2723746.205,2472005.369,2233867.839,3595777.962,2883840.736,3439711.558,4025075.458,4077839.855,4191388.1,1727063.714,1644942.137,1327703.009,155491.2766,272341.7812,276678.5759,133591.0217,4844049.376,5382562.05,6148137.575,5682027.59,5307251.94,6008684.944,5816184.616,4887269.904,5090473.334,5391234.224,5484990.483
1.536_335.14469_RP,9494341.925,15281330.1,10454204.61,1335836.698,1333502.49,1323846.337,10469337.77,7246929.621,2426146.177,1492951.349,5556554.36,3553914.219,1808015.993,3169637.71,3450406.458,1673870.233,1877507.895,1877015.571,888902.56,888834.249,875964.0021,2295697.868,1716484.728,2182744.789,18744238.4,24940615.29,10485370.99,1143547.641,1180035.148,1838691.928,32191.95685,39673.57157,47984.10056,34612.13081,7422065.838,7290118.136,7946494.773,6932360.867,6502654.34,6568749.106,7612956.298,7940085.917,7864149.511,6618365.923,7016153.75
3.822_342.13931_RP,953826.572,1403786.703,768384.3741,801965.6491,1193349.413,989996.4401,1341103.375,1501627.627,1554405.722,526097.5521,547291.6621,590185.2335,1274263.326,1294496.383,1389619.829,1570805.346,1691099.305,1570793.067,695569.8436,601720.7627,587135.9645,2006676.135,767462.8442,1052353.7,1566592.846,1454693.22,1672749.26,736467.2178,678705.797,564844.8638,52086.3861,76929.99863,79475.25687,54020.60366,2491705.899,3923206.697,4479490.672,3163402.028,4024523.298,3838750.096,3530291.716,4582147.47,2742539.838,4287850.588,2752359.271
3.225_467.13687_RP,942219.3756,829108.1302,683355.7094,731542.8411,904056.9984,897712.1743,1320102.892,1401601.484,1479716.936,484674.5438,464031.923,533880.0506,1157888.07,1213868.658,1305516.34,1415539.129,1474116.346,1435458.727,618101.8955,522487.8189,488379.0871,793598.0031,736283.15,897960.7312,1296031.699,1221780.687,1374725.6,580471.5683,549091.6839,461698.6518,50186.29954,76897.32527,75698.80483,45475.062,3364233.221,5444216.851,5809233.78,4818487.871,6019516.808,5206742.69,5739729.096,5760290.538,3673951.607,4679598.441,5279840.43
10.1_172.00622_RP,1482007.631,1294639.605,1021144.552,1307257.862,1580026.976,1532500.475,2109250.061,2317687.419,1278257.457,832392.5656,775958.4415,924024.725,2276415.768,5300239.415,3569764.369,2869889.664,3090977.528,3033586.002,1552931.518,1320831.579,1269478.69,2098026.678,1811868.248,2056803.337,2883107.901,2681792.732,2852579.107,1249936.286,1156265.268,935562.585,76175.74665,114715.9918,92124.33937,59990.09222,3409562.331,3583492.313,3671345.853,4084557.537,4059516.256,4108495.703,1814473.266,3736992.049,3902252.964,3697139.621,3578446.612
2.155_335.14471_RP,1034524.145,989204.0867,2239897.626,1621402.224,1647991.276,1609348.155,6522575.423,1922463.363,3717343.238,810439.2739,949789.5869,920215.4341,2000135.012,1849350.148,1933318.964,1701726.484,1839910.919,1892819.169,918048.0105,1007915.015,954874.5278,2657097.439,1758265.146,3437062.082,11485315.33,20162451.35,17162464.48,1132789.812,1317718.004,1249333.633,50006.52039,74684.04034,74135.27545,45953.9499,3961741.027,3553179.234,3648824.852,3268625.093,3549629.913,3728966.021,3614081.273,4065547.32,3439005.256,3505765.808,3639079.202
2.356_199.00786_RP,118165533,108857602.9,96236222.19,15389250.91,13326541.26,15712312.67,19405831.73,8993660.486,10904227.64,14280866.03,11626711.19,6438779.656,7750447.783,19918087.19,21062867.84,12260641.31,17467039.15,18148618.42,6518581.725,9240466.726,9149959.587,12299163.9,15536921.67,19581389.74,20988699.52,9340169.983,5779393.885,11038063.37,9220531.417,7097132.539,617567.5613,291507.9316,546901.2103,409806.9403,15160636.3,13296970.91,14088417.1,13803018.35,14657142.18,13584378.52,14949883.84,14301449.24,13795167.93,14377313,13713990.8
13.134_177.05445_RP,7863867.405,4441729.535,3801922.18,3580980.814,4478005.939,4514855.26,34209978.08,16864794.75,19754880.1,4499346.235,4222871.52,12504842.09,7971580.628,13619464.92,13930916.43,10266269.24,7619176.137,8306439.57,3882008.996,3447286.055,39813423.12,8782179.026,7468237.253,4924277.92,11472260.66,7122043.936,6342632.96,26585616.74,3042605.491,6208694.048,345005.0626,1743301.215,355872.9416,201910.3997,9552309.835,8690525.71,5352875.329,12274559.31,9660238.859,6666242.262,6575402.66,9611020.294,10010648.08,8734505.349,7662374.271
2.239_220.11778_RP,12168279.68,15198761.94,11252537.15,1470286.631,1432201.556,1513546.012,165325086.1,101751312.3,134734305.5,801874.6723,995383.5303,798726.3356,451761210.8,366591311.3,358013773.5,24492660.48,15703394.47,90233894.16,881553.8184,1210068.795,1319448.447,2414908.637,1508590.339,1634328.406,58547964.38,50425438.51,63140968.7,1270939.954,1121786.939,2027281.709,50852.4401,74910.88483,128494.6647,53269.94059,6648466.346,6848615.876,6659248.189,6778982.641,6728295.554,6761974.544,6783939.157,6835771.932,6496994.817,6684856.221,6638294.464
12.426_611.12153_RP,3193286.204,1959048.971,2196339.412,2462861.477,3070821.319,2995020.871,3822322.903,3979690.532,3852546.997,1302616.606,1249985.604,1485169.998,3213745.084,3407872.857,3651884.197,3945161.594,4064970.355,3778212.003,1803150.791,1550942.813,1440623.361,2276183.602,1849111.335,2078531.324,2398376.796,2224855.611,2329063.105,985798.0168,859135.9768,706575.1999,157625.3431,337709.0477,255036.9828,70098.96575,1287198.666,1932291.273,2166332.517,2065016.215,1671062.157,1066457.034,1556784.703,1566633.048,1795629.418,1603610.696,2139966.287
4.182_432.17093_RP,1429750.05,1365286.523,1113784.675,1204521.52,1412969.338,1384490.037,1784333.339,1934565.562,2064649.882,2915815.815,2341406.234,4166649.035,1597717.714,1691522.799,1823578.803,2026748.954,2109925.496,2004531.618,989713.1431,989466.0408,958414.6199,1171279.135,4910470.541,1369371.287,2000978.723,1917408.822,2202314.15,4420243.226,1893981.922,869378.6389,67505.32981,100483.2502,104635.6457,70097.57348,5233349.648,5984050.317,4709421.609,5532903.621,4030745.855,6354851.425,4850623.257,4953995.01,4219526.807,5252838.115,6288495.977
